"IATA","ICAO","Airport name","Country","City","Information"
"AAA","NTGA","Anaa Airport","French Polynesia","Anaa","https://www.worlddata.info/oceania/french-polynesia/airports.php"
"AAB","YARY","Arrabury Airport","Australia","Tanbar","https://www.worlddata.info/oceania/australia/airports.php"
"AAC","HEAR","El Arish International Airport","Egypt","El Arish","https://www.worlddata.info/africa/egypt/airports.php"
"AAD",,"Adado Airport","Somalia","Adado","https://www.worlddata.info/africa/somalia/airports.php"
"AAE","DABB","Annaba Rabah Bitat Airport","Algeria","Annaba","https://www.worlddata.info/africa/algeria/airports.php"
"AAF","KAAF","Apalachicola Regional Airport","United States of America","Apalachicola","https://www.worlddata.info/america/usa/airports.php"
"AAG","SSYA","Avelino Vieira Airport","Brazil","Arapoti","https://www.worlddata.info/america/brazil/airports.php"
"AAH","EDKA","Aachen-Merzbrück Airport","Germany","Aachen","https://www.worlddata.info/europe/germany/airports.php"
"AAI","SWRA","Arraias Airport","Brazil","Arraias","https://www.worlddata.info/america/brazil/airports.php"
"AAJ",,"Cayana Airstrip","Suriname","Awaradam","https://www.worlddata.info/america/suriname/airports.php"
"AAK","NGUK","Aranuka Airport","Kiribati","Buariki","https://www.worlddata.info/oceania/kiribati/airports.php"
"AAL","EKYT","Aalborg Airport","Denmark","Aalborg","https://www.worlddata.info/europe/denmark/airports.php"
"AAM","FAMD","Malamala Airport","South Africa","Malamala","https://www.worlddata.info/africa/south-africa/airports.php"
"AAN","OMAL","Al Ain International Airport","United Arab Emirates","Al Ain","https://www.worlddata.info/asia/arab-emirates/airports.php"
"AAO","SVAN","Anaco Airport","Venezuela","Anaco","https://www.worlddata.info/america/venezuela/airports.php"
"AAP","WALS","Aji Pangeran Tumenggung Pranoto International Airport","Indonesia","Samarinda","https://www.worlddata.info/asia/indonesia/airports.php"
"AAQ","URKA","Anapa Vityazevo Airport","Russia","Krasnyi Kurgan","https://www.worlddata.info/europe/russia/airports.php"
"AAR","EKAH","Aarhus Airport","Denmark","Aarhus","https://www.worlddata.info/europe/denmark/airports.php"
"AAS",,"Apalapsili Airport","Indonesia","Apalapsili","https://www.worlddata.info/asia/indonesia/airports.php"
"AAT",,"Altay Xuedu Airport","China","Altay","https://www.worlddata.info/asia/china/airports.php"
"AAU","NSAU","Asau Airport","Samoa","Asau","https://www.worlddata.info/oceania/samoa/airports.php"
"AAV","RPMA","Allah Valley Airport","Philippines","Surallah","https://www.worlddata.info/asia/philippines/airports.php"
"AAX","SBAX","Romeu Zema Airport","Brazil","Araxá","https://www.worlddata.info/america/brazil/airports.php"
